key,de-DE,en-US
server.config.name.system.aivalidator-base,Basis-Einstellungen,Base settings

server.config.parameter.system.aivalidator-base.fields_chooser.label,Felder zu prüfen,Fields to check

server.config.parameter.system.aivalidator-base.tag_chooser.label,Verdächtige Einträge mit folgendem Tag markieren,Tag for flagged entries
server.config.parameter.system.aivalidator-base.tag_chooser.placeholder,Tag wählen,Choose tag

server.config.parameter.system.aivalidator-base.tag_choose1.label,Trigger-Tag wählen,Choose trigger tag
server.config.parameter.system.aivalidator-base.tag_choose1.placeholder,Tag wählen,Choose tag

server.config.parameter.system.aivalidator-base.tag_choose2.label,Markierungs-Tag wählen,Choose marker tag
server.config.parameter.system.aivalidator-base.tag_choose2.placeholder,Tag wählen,Choose tag

server.config.parameter.system.aivalidator-base.field-chooser.modelfield.label,Objekt & Feld,Object & field
server.config.parameter.system.aivalidator-base.field-chooser.modelfield.placeholder,Feld wählen,Choose field
server.config.parameter.system.aivalidator-base.field-chooser.model.label,Objekt,Object
server.config.parameter.system.aivalidator-base.field-chooser.field.label,Feld,Field




server.config.name.system.aivalidator-criterias,Kriterien,Criterias

server.config.parameter.system.aivalidator-criterias.chatgpt_threshold.label,ChatGPT Schwellwert (0 - 100),ChatGPT threshold (0 - 100)
server.config.parameter.system.aivalidator-criterias.chatgpt_threshold.label|hint,"Ab welcher Problematik-Beurteilung von ChatGPT ein Eintrag getaggt wird mit 0=unproblematisch, 100=super problematisch. Empfohlen: 50. Dies verwendet ChatGPT, um den Text zu bewerten und ihm eine Beurteilung zu geben. Es kann die Bedeutung und die Absicht auch dann genau beurteilen, wenn es Rechtschreibfehler gibt oder Teile in einer anderen Sprache verfasst sind.","At what level of problem assessment by ChatGPT is an entry tagged with 0=unproblematic, 100=super problematic. Recommended: 50. This uses ChatGPT to judge the text and give it a rating. It can accurately assess the meaning and its intention even when there spelling errors or parts are in a different language."
server.config.parameter.system.aivalidator-criterias.chatgpt_enabled.label,ChatGPT nutzen,Use ChatGPT
server.config.parameter.system.aivalidator-criterias.chatgpt_enabled.checkbox,nutzen,use it

server.config.parameter.system.aivalidator-criterias.sentiment_threshold.label,Sentimentanalyse Schwellwert (0 - 100),Sentiment analysis threshold (0 - 100)
server.config.parameter.system.aivalidator-criterias.sentiment_threshold.label|hint,"Dies überprüft, wie positiv oder negativ der Text insgesamt ist. Ab welcher Problematik-Beurteilung der Sentimentanalyse ein Eintrag getaggt wird mit 0=unproblematisch, 100=super problematisch. Empfohlen: 50. Dies reduziert jedes Wort auf seinen Stamm (gesagt => sagen) und vergleicht es mit Listen positiver und negativer Wörter, um an den endgültigen Wert zu gelangen.","This checks how positive or negative the text is overall.At what level of sentiment analysis assessment is an entry tagged, with 0=unproblematic, 100=super problematic. Recommended: 50. This reduces each word to its stem (said => say) and compares it against lists of positive and negative words to arrive at its final score."
server.config.parameter.system.aivalidator-criterias.sentiment_enabled.label,Sentimentanalyse ausführen,Use sentiment analysis
server.config.parameter.system.aivalidator-criterias.sentiment_enabled.checkbox,ausführen,use it

server.config.parameter.system.aivalidator-criterias.spelling_threshold.label,Rechtschreibung Schwellwert (0 - 100),Spelling threshold (0 - 100)
server.config.parameter.system.aivalidator-criterias.spelling_threshold.label|hint,"Die Rechtschreibung wird eingeschätzt mit 0=alles korrekt und 100=unverhältnismäßig viele unerkannte Wörter. Empfehlung: 50. Dabei wird die Hunspell-Rechtschreibprüfung angewandt, die u.A. auch in OpenOffice verwendet wird, und außerdem mit 14.000 Städtenamen angereichert.","Spelling is assessed with 0=everything correct and 100=an excessively high number of unrecognized words. Recommendation: 50. The Hunspell spell checker is applied which is also used in OpenOffice, and is additionally enriched with 14,000 city names."
server.config.parameter.system.aivalidator-criterias.spelling_enabled.label,Rechtschreibung überprüfen,Use spelling check
server.config.parameter.system.aivalidator-criterias.spelling_enabled.checkbox,überprüfen,check spelling

server.config.parameter.system.aivalidator-criterias.markings_threshold.label,Übermäßige Markierungen Schwellwert (0 - 100),Excessive markings Schwellwert (0 - 100)
server.config.parameter.system.aivalidator-criterias.markings_threshold.label|hint,"Hier wird geprüft, wie viele Ausrufezeichen, Fragezeichen, Emojis und GANZGROẞSCHREIBUNG im Text sind. 0=keine Auffälligkeit und 100=sehr auffällig. Empfohlen: 50. Die Häufigkeit wird mit Normwerten von Internet-Nutzerkommentaren verglichen.","Here, it is checked how many exclamation marks, question marks, emojis, and ALL CAPS are in the text. 0=no abnormality and 100=very noticeable. Recommended: 50. The frequency gets compared to norm values of web user comments."
server.config.parameter.system.aivalidator-criterias.markings_enabled.label,Übermäßige Markierungen überprüfen,Check excessive markings
server.config.parameter.system.aivalidator-criterias.markings_enabled.checkbox,überprüfen,check it

server.config.parameter.system.aivalidator-criterias.repeated_offender_enabled.label,Neue Einträge von Wiederholungstätern taggen bei schon X getaggten Einträgen (0 - 100),Flag new posts of repeat offenders after already having X flagged entries (0 - 10)
server.config.parameter.system.aivalidator-criterias.repeated_offender_enabled.label|hint,"Hat eine Person schon mehrere Einträge abgegeben die dann getaggt wurden, können Folgeeinträge dieser Person automatisch getaggt werden. Hier wird die Anzahl festgelegt, ab dieser alle Folgeeinträge getaggt werden, egal ob sie unproblematisch sind oder nicht.","If a person has already submitted multiple entries that have been tagged, subsequent entries from that person can be automatically tagged. The number is set here, from which all subsequent entries will be tagged, whether they are unproblematic or not."

server.config.parameter.system.aivalidator-criterias.rate_limiting_enabled.label,Ratenlimitierung,Rate limiting
server.config.parameter.system.aivalidator-criterias.rate_limiting_enabled.label|hint,"Anschalten um Bots zu verhindern, indem Einträge getaggt werden, wenn zu viele in zu kurzer Zeit abgegeben werden. Maximum ist 1000 pro Tag, 100 pro Stunde und 8 pro Minute.","Turn on to prevent bots by tagging entries if too many are submitted in a short period. Maximum is 1000 per day, 100 per hour and 8 per minute."
server.config.parameter.system.aivalidator-criterias.rate_limiting_enabled.checkbox,an,on

server.config.parameter.system.aivalidator-criterias.nongerman_flag_enabled.label,Nicht in Deutscher Sprache,Not in German language
server.config.parameter.system.aivalidator-criterias.nongerman_flag_enabled.label|hint,"Ob Einträge automatisch getaggt werden, wenn erkannt wird, dass sie nicht in deutscher Sprache erfasst wurden.","Whether entries are automatically tagged when it is detected that they were not written in the German language."
server.config.parameter.system.aivalidator-criterias.nongerman_flag_enabled.checkbox,Zur Überprüfung markieren/Tag setzen,flag





server.config.name.system.aivalidator-misc,Sonstige Einstellungen,Misc settings

server.config.parameter.system.aivalidator-misc.preset_blocklist.label,Vorgegebene Blockliste,Preset blocklist
server.config.parameter.system.aivalidator-misc.preset_blocklist.label|hint,"Kommt eines dieser Wörter im Texteintrag vor, wird er getaggt.","If any of these words are present in the text entry, it will be tagged."
server.config.parameter.system.aivalidator-testing.testfield.preset_blocklist.descr,"Es wird eine vorgefertigte Blockliste mitgeliefert, deren Wortinhalte zum Markieren führt.","This is a pre-made blocklist whose word contents lead to marking."
server.config.parameter.system.aivalidator-testing.testfield.preset_blocklist.show,"Anzeigen","Show"
server.config.parameter.system.aivalidator-testing.testfield.preset_blocklist.download,"Download","Download"
